YEAR ,MONTH,INDEX
1985,3.00E+00,2.31E-01
1985,4.00E+00,3.19E-01
1985,5.00E+00,1.56E-01
1985,6.00E+00,-4.47E-02
1985,7.00E+00,1.78E-01
1985,8.00E+00,-2.33E-01
1985,9.00E+00,-9.36E-01
1985,1.00E+01,-1.18E+00
1985,1.10E+01,-1.79E+00
1985,1.20E+01,-1.68E+00
1986,1.00E+00,-7.69E-01
1986,2.00E+00,-1.45E+00
1986,3.00E+00,-4.66E-01
1986,4.00E+00,-9.67E-01
1986,5.00E+00,-4.98E-01
1986,6.00E+00,-6.66E-01
1986,7.00E+00,-9.41E-01
1986,8.00E+00,-1.02E+00
1986,9.00E+00,-7.68E-01
1986,1.00E+01,-2.94E-01
1986,1.10E+01,-5.01E-01
1986,1.20E+01,-4.56E-01
1987,1.00E+00,6.87E-01
1987,2.00E+00,7.68E-01
1987,3.00E+00,2.85E-01
1987,4.00E+00,4.71E-01
1987,5.00E+00,2.74E-01
1987,6.00E+00,3.94E-01
1987,7.00E+00,4.26E-01
1987,8.00E+00,3.40E-01
1987,9.00E+00,1.70E-01
1987,1.00E+01,1.21E-01
1987,1.10E+01,5.22E-01
1987,1.20E+01,6.92E-01
1988,1.00E+00,1.11E+00
1988,2.00E+00,7.97E-01
1988,3.00E+00,9.68E-01
1988,4.00E+00,1.57E+00
1988,5.00E+00,1.78E+00
1988,6.00E+00,1.74E+00
1988,7.00E+00,1.72E+00
1988,8.00E+00,1.39E+00
1988,9.00E+00,1.32E+00
1988,1.00E+01,1.49E+00
1988,1.10E+01,1.24E+00
1988,1.20E+01,7.55E-01
1989,1.00E+00,1.31E+00
1989,2.00E+00,6.62E-01
1989,3.00E+00,9.29E-01
1989,4.00E+00,7.84E-01
1989,5.00E+00,5.84E-01
1989,6.00E+00,5.22E-01
1989,7.00E+00,1.26E+00
1989,8.00E+00,6.67E-01
1989,9.00E+00,6.54E-01
1989,1.00E+01,4.42E-01
1989,1.10E+01,-3.01E-01
1989,1.20E+01,-1.73E-01
1990,1.00E+00,2.69E-01
1990,2.00E+00,-2.80E-01
1990,3.00E+00,6.53E-01
1990,4.00E+00,2.42E-01
1990,5.00E+00,-9.61E-02
1990,6.00E+00,-6.54E-02
1990,7.00E+00,-2.58E-01
1990,8.00E+00,-3.30E-01
1990,9.00E+00,-1.59E-01
1990,1.00E+01,-1.20E-01
1990,1.10E+01,-7.39E-01
1990,1.20E+01,-1.53E+00
1991,1.00E+00,-7.44E-01
1991,2.00E+00,-3.05E-01
1991,3.00E+00,-8.07E-01
1991,4.00E+00,-2.06E-01
1991,5.00E+00,-5.95E-02
1991,6.00E+00,-3.88E-01
1991,7.00E+00,-4.79E-01
1991,8.00E+00,-5.74E-01
1991,9.00E+00,-9.49E-01
1991,1.00E+01,-1.09E+00
1991,1.10E+01,-1.72E-01
1991,1.20E+01,-2.13E-01
1992,1.00E+00,4.93E-01
1992,2.00E+00,-4.57E-01
1992,3.00E+00,-8.21E-01
1992,4.00E+00,-1.43E+00
1992,5.00E+00,-1.80E+00
1992,6.00E+00,-1.35E+00
1992,7.00E+00,-1.46E+00
1992,8.00E+00,-1.25E+00
1992,9.00E+00,-9.47E-01
1992,1.00E+01,-9.69E-01
1992,1.10E+01,-1.28E+00
1992,1.20E+01,-1.87E+00
1993,1.00E+00,-2.82E+00
1993,2.00E+00,-2.14E+00
1993,3.00E+00,-1.74E+00
1993,4.00E+00,-7.59E-01
1993,5.00E+00,-1.09E+00
1993,6.00E+00,-1.68E+00
1993,7.00E+00,-1.68E+00
1993,8.00E+00,-1.51E+00
1993,9.00E+00,-2.05E+00
1993,1.00E+01,-2.35E+00
1993,1.10E+01,-3.00E+00
1993,1.20E+01,-2.00E+00
1994,1.00E+00,-1.85E+00
1994,2.00E+00,-1.98E+00
1994,3.00E+00,-1.86E+00
1994,4.00E+00,-1.45E+00
1994,5.00E+00,-3.01E-01
1994,6.00E+00,-6.12E-01
1994,7.00E+00,-7.11E-01
1994,8.00E+00,-8.59E-01
1994,9.00E+00,-1.10E+00
1994,1.00E+01,-1.11E+00
1994,1.10E+01,-1.69E+00
1994,1.20E+01,-1.02E+00
1995,1.00E+00,-4.99E-01
1995,2.00E+00,-1.56E+00
1995,3.00E+00,-2.05E+00
1995,4.00E+00,-1.82E+00
1995,5.00E+00,-1.50E+00
1995,6.00E+00,-1.05E+00
1995,7.00E+00,-1.50E+00
1995,8.00E+00,-1.01E+00
1995,9.00E+00,-8.94E-01
1995,1.00E+01,-5.18E-01
1995,1.10E+01,-2.77E-01
1995,1.20E+01,2.16E-01
1996,1.00E+00,-6.39E-01
1996,2.00E+00,-1.05E+00
1996,3.00E+00,-1.15E+00
1996,4.00E+00,-4.36E-01
1996,5.00E+00,-1.27E+00
1996,6.00E+00,-1.06E+00
1996,7.00E+00,-8.84E-01
1996,8.00E+00,-7.48E-01
1996,9.00E+00,-9.34E-01
1996,1.00E+01,-1.04E+00
1996,1.10E+01,-1.10E+00
1996,1.20E+01,-1.35E+00
1997,1.00E+00,-1.64E+00
1997,2.00E+00,-1.11E+00
1997,3.00E+00,-6.18E-01
1997,4.00E+00,-5.06E-01
1997,5.00E+00,-8.77E-01
1997,6.00E+00,-9.38E-01
1997,7.00E+00,-7.72E-01
1997,8.00E+00,-7.86E-01
1997,9.00E+00,-4.81E-01
1997,1.00E+01,-5.94E-01
1997,1.10E+01,1.74E-01
1997,1.20E+01,2.61E-01
1998,1.00E+00,5.28E-01
1998,2.00E+00,1.90E+00
1998,3.00E+00,8.93E-01
1998,4.00E+00,5.22E-01
1998,5.00E+00,2.78E-01
1998,6.00E+00,1.19E-01
1998,7.00E+00,3.93E-01
1998,8.00E+00,2.73E-01
1998,9.00E+00,4.45E-02
1998,1.00E+01,9.88E-02
1998,1.10E+01,7.17E-01
1998,1.20E+01,7.69E-01
1999,1.00E+00,1.08E+00
1999,2.00E+00,2.30E+00
1999,3.00E+00,1.97E+00
1999,4.00E+00,1.65E+00
1999,5.00E+00,1.60E+00
1999,6.00E+00,1.91E+00
1999,7.00E+00,1.38E+00
1999,8.00E+00,1.43E+00
1999,9.00E+00,1.30E+00
1999,1.00E+01,1.18E+00
1999,1.10E+01,1.32E+00
1999,1.20E+01,1.05E+00
2000,1.00E+00,1.40E+00
2000,2.00E+00,2.12E+00
2000,3.00E+00,2.15E+00
2000,4.00E+00,2.37E+00
2000,5.00E+00,2.22E+00
2000,6.00E+00,2.10E+00
2000,7.00E+00,1.66E+00
2000,8.00E+00,1.35E+00
2000,9.00E+00,1.38E+00
2000,1.00E+01,1.70E+00
2000,1.10E+01,2.01E+00
2000,1.20E+01,2.16E+00
2001,1.00E+00,2.86E+00
2001,2.00E+00,2.96E+00
2001,3.00E+00,2.39E+00
2001,4.00E+00,2.20E+00
2001,5.00E+00,1.95E+00
2001,6.00E+00,2.35E+00
2001,7.00E+00,1.50E+00
2001,8.00E+00,1.92E+00
2001,9.00E+00,1.89E+00
2001,1.00E+01,1.16E+00
2001,1.10E+01,1.76E+00
2001,1.20E+01,2.02E+00
2002,1.00E+00,1.86E+00
2002,2.00E+00,2.18E+00
2002,3.00E+00,1.90E+00
2002,4.00E+00,8.97E-01
2002,5.00E+00,1.10E+00
2002,6.00E+00,1.61E+00
2002,7.00E+00,1.38E+00
2002,8.00E+00,8.12E-01
2002,9.00E+00,8.24E-01
2002,1.00E+01,8.24E-01
2002,1.10E+01,1.66E+00
2002,1.20E+01,2.64E+00
2003,1.00E+00,1.97E+00
2003,2.00E+00,9.93E-01
2003,3.00E+00,1.49E+00
2003,4.00E+00,1.10E+00
2003,5.00E+00,9.19E-01
2003,6.00E+00,7.78E-01
2003,7.00E+00,1.20E+00
2003,8.00E+00,7.82E-01
2003,9.00E+00,8.69E-01
2003,1.00E+01,1.29E+00
2003,1.10E+01,-1.14E-01
2003,1.20E+01,2.24E-01
2004,1.00E+00,2.65E-01
2004,2.00E+00,6.67E-01
2004,3.00E+00,3.83E-01
2004,4.00E+00,1.25E-01
2004,5.00E+00,2.07E-01
2004,6.00E+00,7.76E-01
2004,7.00E+00,4.12E-01
2004,8.00E+00,6.85E-01
2004,9.00E+00,3.76E-01
2004,1.00E+01,4.29E-02
2004,1.10E+01,-4.42E-01
2004,1.20E+01,-9.85E-01
2005,1.00E+00,-1.66E+00
2005,2.00E+00,-1.49E+00
2005,3.00E+00,-1.49E+00
2005,4.00E+00,-1.69E+00
2005,5.00E+00,-7.90E-01
2005,6.00E+00,-1.28E+00
2005,7.00E+00,-1.66E+00
2005,8.00E+00,-1.13E+00
2005,9.00E+00,-1.57E+00
2005,1.00E+01,-8.89E-01
2005,1.10E+01,-1.66E+00
2005,1.20E+01,-1.25E+00
2006,1.00E+00,-6.46E-01
2006,2.00E+00,-1.07E+00
2006,3.00E+00,-7.10E-01
2006,4.00E+00,-5.66E-01
2006,5.00E+00,-1.22E-01
2006,6.00E+00,-1.27E-01
2006,7.00E+00,-4.99E-01
2006,8.00E+00,-3.67E-01
2006,9.00E+00,-3.40E-01
2006,1.00E+01,-1.05E+00
2006,1.10E+01,-9.96E-01
2006,1.20E+01,-1.56E-01
2007,1.00E+00,-4.12E-01
2007,2.00E+00,-1.37E-01
2007,3.00E+00,-5.49E-01
2007,4.00E+00,2.61E-01
2007,5.00E+00,6.92E-01
2007,6.00E+00,1.23E+00
2007,7.00E+00,1.23E+00
2007,8.00E+00,1.44E+00
2007,9.00E+00,9.09E-01
2007,1.00E+01,1.27E+00
2007,1.10E+01,7.28E-01
2007,1.20E+01,4.58E-01
2008,1.00E+00,5.56E-01
2008,2.00E+00,1.14E+00
2008,3.00E+00,1.37E+00
2008,4.00E+00,1.40E+00
2008,5.00E+00,1.74E+00
2008,6.00E+00,1.28E+00
2008,7.00E+00,1.43E+00
2008,8.00E+00,2.14E+00
2008,9.00E+00,2.23E+00
2008,1.00E+01,1.77E+00
2008,1.10E+01,1.97E+00
2008,1.20E+01,4.49E-01
2009,1.00E+00,7.22E-01
2009,2.00E+00,9.09E-01
2009,3.00E+00,3.31E-01
2009,4.00E+00,4.16E-01
2009,5.00E+00,5.54E-01
2009,6.00E+00,3.70E-01
2009,7.00E+00,5.60E-01
2009,8.00E+00,7.18E-01
2009,9.00E+00,9.84E-01
2009,1.00E+01,1.15E+00
2009,1.10E+01,1.05E+00
2009,1.20E+01,1.06E+00
2010,1.00E+00,2.06E+00
2010,2.00E+00,1.84E+00
2010,3.00E+00,1.65E+00
2010,4.00E+00,1.18E+00
2010,5.00E+00,1.87E+00
2010,6.00E+00,1.24E+00
2010,7.00E+00,1.15E+00
2010,8.00E+00,1.08E+00
2010,9.00E+00,1.00E+00
2010,1.00E+01,1.61E+00
2010,1.10E+01,9.88E-01
2010,1.20E+01,7.80E-01
2011,1.00E+00,3.21E-01
2011,2.00E+00,5.49E-01
2011,3.00E+00,1.20E+00
2011,4.00E+00,5.96E-01
2011,5.00E+00,1.39E+00
2011,6.00E+00,1.11E+00
2011,7.00E+00,1.04E+00
2011,8.00E+00,1.04E+00
2011,9.00E+00,1.33E+00
2011,1.00E+01,1.20E+00
2011,1.10E+01,3.74E-01
2011,1.20E+01,1.32E-01
2012,1.00E+00,8.33E-01
2012,2.00E+00,8.62E-01
2012,3.00E+00,1.12E+00
2012,4.00E+00,1.93E+00
2012,5.00E+00,1.63E+00
2012,6.00E+00,1.94E+00
2012,7.00E+00,1.86E+00
2012,8.00E+00,1.73E+00
2012,9.00E+00,1.36E+00
2012,1.00E+01,1.87E+00
2012,1.10E+01,1.40E+00
2012,1.20E+01,1.20E+00
2013,1.00E+00,1.23E+00
2013,2.00E+00,1.20E+00
2013,3.00E+00,6.42E-01
2013,4.00E+00,4.76E-01
2013,5.00E+00,8.52E-01
2013,6.00E+00,7.26E-01
2013,7.00E+00,4.51E-01
2013,8.00E+00,5.61E-01
2013,9.00E+00,3.90E-01
2013,1.00E+01,-1.48E-01
2013,1.10E+01,-8.05E-01
2013,1.20E+01,-1.45E+00
2014,1.00E+00,-3.90E-01
2014,2.00E+00,-2.67E-01
2014,3.00E+00,-4.54E-01
2014,4.00E+00,-6.17E-01
2014,5.00E+00,2.28E-01
2014,6.00E+00,-4.17E-01
2014,7.00E+00,-1.33E-01
2014,8.00E+00,-5.45E-01
2014,9.00E+00,-7.76E-01
2014,1.00E+01,4.25E-01
2014,1.10E+01,3.12E-01
2014,1.20E+01,-3.55E-01
2015,1.00E+00,-5.50E-01
2015,2.00E+00,-1.27E+00
2015,3.00E+00,-1.39E+00
2015,4.00E+00,-1.38E+00
2015,5.00E+00,-7.20E-01
2015,6.00E+00,-1.25E+00
2015,7.00E+00,-1.47E+00
2015,8.00E+00,-1.93E+00
2015,9.00E+00,-2.10E+00
2015,1.00E+01,-1.31E+00
2015,1.10E+01,-2.25E+00
2015,1.20E+01,-1.11E+00
2016,1.00E+00,9.39E-01
2016,2.00E+00,2.30E-01
2016,3.00E+00,4.73E-01
2016,4.00E+00,-4.00E-01
2016,5.00E+00,-6.82E-01
2016,6.00E+00,-9.58E-01
2016,7.00E+00,-4.86E-01
2016,8.00E+00,-5.44E-01
2016,9.00E+00,-7.73E-01
2016,1.00E+01,3.53E-01
2016,1.10E+01,1.16E+00
2016,1.20E+01,-1.54E+00
2017,1.00E+00,-2.66E-01
2017,2.00E+00,-6.71E-01
2017,3.00E+00,-8.94E-01
2017,4.00E+00,-1.13E-01
2017,5.00E+00,-4.58E-01
2017,6.00E+00,-2.95E-01
2017,7.00E+00,-4.45E-01
2017,8.00E+00,-5.31E-01
2017,9.00E+00,-5.26E-01
2017,1.00E+01,-1.41E+00
2017,1.10E+01,-2.06E+00
2017,1.20E+01,-2.69E+00
2018,1.00E+00,-1.49E+00
2018,2.00E+00,-2.23E+00
2018,3.00E+00,-2.04E+00
2018,4.00E+00,-2.06E+00
2018,5.00E+00,-1.92E+00
2018,6.00E+00,-1.93E+00
2018,7.00E+00,-1.57E+00
2018,8.00E+00,-2.12E+00
2018,9.00E+00,-2.33E+00
2018,1.00E+01,-2.34E+00
2018,1.10E+01,-1.75E+00
2018,1.20E+01,-1.08E+00
2019,1.00E+00,-8.58E-01
2019,2.00E+00,-2.57E+00
2019,3.00E+00,-1.99E+00
2019,4.00E+00,-2.15E+00
2019,5.00E+00,-2.12E+00
2019,6.00E+00,-1.99E+00
2019,7.00E+00,-2.22E+00
2019,8.00E+00,-1.99E+00
2019,9.00E+00,-2.53E+00
2019,1.00E+01,-2.67E+00
2019,1.10E+01,-3.65E+00
2019,1.20E+01,-2.93E+00
2020,1.00E+00,-1.71E+00
2020,2.00E+00,-2.04E+00
2020,3.00E+00,-1.77E+00
2020,4.00E+00,-1.89E+00
2020,5.00E+00,-1.05E+00
2020,6.00E+00,-1.45E+00
2020,7.00E+00,-1.25E+00
